,episode_id,url,show_id,show_name,episode_name,season_n,episode_n,type_ep,airstamp,runtime,average_rating,show_type,show_language,show_genres,show_status,showed_in
83,2756131,https://www.tvmaze.com/episodes/2756131/kismetse-olur-askin-gucu-2x110-episode-110,66819,Kısmetse Olur: Aşkın Gücü,Episode 110,2,110,regular,2024-01-31T12:00:00+00:00,159.0,,Reality,Turkish,['Romance'],Running,YouTube
84,2740815,https://www.tvmaze.com/episodes/2740815/fbi-true-4x13-hunting-a-terrorist-mastermind,67172,FBI True,Hunting a Terrorist Mastermind,4,13,regular,2024-01-31T12:00:00+00:00,22.0,8.8,Documentary,English,['Crime'],Running,Paramount+
85,2740816,https://www.tvmaze.com/episodes/2740816/fbi-true-4x14-stopping-a-sniper,67172,FBI True,Stopping a Sniper,4,14,regular,2024-01-31T12:00:00+00:00,22.0,8.8,Documentary,English,['Crime'],Running,Paramount+
86,2734334,https://www.tvmaze.com/episodes/2734334/survival-mode-2x05-ryan-plays-minecraft-for-the-first-time-shane-is-there-too,68837,Survival Mode,Ryan Plays Minecraft For The First Time (Shane Is There Too),2,5,regular,2024-01-31T12:00:00+00:00,45.0,,Variety,English,[],Running,YouTube
87,2751000,https://www.tvmaze.com/episodes/2751000/idiot-sandwich-1x03-lexi-hensler-tries-to-recreate-gordon-ramsays-scrambled-eggs-for-a-breakfast-sandwich-showdown,71441,Idiot Sandwich,Lexi Hensler Tries to Recreate Gordon Ramsay's Scrambled Eggs for A Breakfast Sandwich Showdown,1,3,regular,2024-01-31T12:00:00+00:00,11.0,,Reality,English,['Food'],To Be Determined,YouTube
88,2757478,https://www.tvmaze.com/episodes/2757478/jolvanezigy-2x83-ennyiszer-kell-magadhoz-nyulnod-hogy-egeszseges-legyel,71524,JÓLVANEZÍGY,"Ennyiszer KELL magadhoz nyúlnod, hogy EGÉSZSÉGES legyél",2,83,regular,2024-01-31T12:00:00+00:00,41.0,,Variety,Hungarian,[],Running,YouTube
89,2760225,https://www.tvmaze.com/episodes/2760225/pod-save-the-world-2024-01-31-will-biden-bomb-iran,71844,Pod Save the World,Will Biden Bomb Iran?,2024,4,regular,2024-01-31T12:00:00+00:00,87.0,,Talk Show,,[],Running,YouTube
90,2893578,https://www.tvmaze.com/episodes/2893578/one-world-with-zain-asher-and-bianna-golodryga-2024-01-31-episode-23,72499,One World with Zain Asher and Bianna Golodryga,Episode 23,2024,23,regular,2024-01-31T12:00:00+00:00,60.0,,News,English,[],Running,CNN International
91,2845128,https://www.tvmaze.com/episodes/2845128/state-of-the-race-2024-01-31-episode-21,72501,State of the Race,Episode 21,2024,21,regular,2024-01-31T12:00:00+00:00,60.0,,News,English,[],Running,CNN International
92,2937804,https://www.tvmaze.com/episodes/2937804/spiritual-lord-of-chaos-1x45-episode-45,72972,Spiritual Lord of Chaos,Episode 45,1,45,regular,2024-01-31T12:00:00+00:00,,,Animation,Chinese,"['Action', 'Adventure', 'Anime', 'Fantasy']",Ended,iQIYI
93,2711943,https://www.tvmaze.com/episodes/2711943/choir-1x01-the-kids-from-detroit,73378,Choir,The Kids From Detroit,1,1,regular,2024-01-31T12:00:00+00:00,47.0,,Documentary,English,"['Family', 'Music']",Running,Disney+
94,2711944,https://www.tvmaze.com/episodes/2711944/choir-1x02-raising-the-bar,73378,Choir,Raising the Bar,1,2,regular,2024-01-31T12:00:00+00:00,43.0,,Documentary,English,"['Family', 'Music']",Running,Disney+
95,2711945,https://www.tvmaze.com/episodes/2711945/choir-1x03-the-golden-ticket,73378,Choir,The Golden Ticket,1,3,regular,2024-01-31T12:00:00+00:00,45.0,,Documentary,English,"['Family', 'Music']",Running,Disney+
96,2711946,https://www.tvmaze.com/episodes/2711946/choir-1x04-lean-on-we,73378,Choir,Lean on We,1,4,regular,2024-01-31T12:00:00+00:00,48.0,,Documentary,English,"['Family', 'Music']",Running,Disney+
97,2711947,https://www.tvmaze.com/episodes/2711947/choir-1x05-high-hopes,73378,Choir,High Hopes,1,5,regular,2024-01-31T12:00:00+00:00,46.0,,Documentary,English,"['Family', 'Music']",Running,Disney+
98,2711948,https://www.tvmaze.com/episodes/2711948/choir-1x06-primetime-ready,73378,Choir,Primetime Ready,1,6,regular,2024-01-31T12:00:00+00:00,45.0,,Documentary,English,"['Family', 'Music']",Running,Disney+
99,2712672,https://www.tvmaze.com/episodes/2712672/baby-bandito-1x01-la-ocasion-hace-al-ladron,73413,Baby Bandito,La ocasión hace al ladrón,1,1,regular,2024-01-31T12:00:00+00:00,39.0,,Scripted,Spanish,"['Drama', 'Crime', 'Thriller']",Ended,Netflix
100,2759355,https://www.tvmaze.com/episodes/2759355/baby-bandito-1x02-mas-facil-se-pilla-a-un-mentiroso-que-a-un-ladron,73413,Baby Bandito,Más fácil se pilla a un mentiroso que a un ladrón,1,2,regular,2024-01-31T12:00:00+00:00,43.0,,Scripted,Spanish,"['Drama', 'Crime', 'Thriller']",Ended,Netflix
101,2759356,https://www.tvmaze.com/episodes/2759356/baby-bandito-1x03-ladron-que-roba-a-ladron-tiene-cien-anos-de-perdon,73413,Baby Bandito,Ladrón que roba a ladrón tiene cien años de perdón,1,3,regular,2024-01-31T12:00:00+00:00,36.0,,Scripted,Spanish,"['Drama', 'Crime', 'Thriller']",Ended,Netflix
102,2759357,https://www.tvmaze.com/episodes/2759357/baby-bandito-1x04-en-lo-ajeno-reina-la-desgracia,73413,Baby Bandito,En lo ajeno reina la desgracia,1,4,regular,2024-01-31T12:00:00+00:00,39.0,,Scripted,Spanish,"['Drama', 'Crime', 'Thriller']",Ended,Netflix
103,2759358,https://www.tvmaze.com/episodes/2759358/baby-bandito-1x05-nadie-es-profeta-en-su-propia-tierra,73413,Baby Bandito,Nadie es profeta en su propia tierra,1,5,regular,2024-01-31T12:00:00+00:00,35.0,,Scripted,Spanish,"['Drama', 'Crime', 'Thriller']",Ended,Netflix
